HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url_A,Input.video_url_B,Answer.ranking,Answer.ranking.label,Approve,Reject
37PGLWGSJTXGK3YJFEU3M1J5RB3IKO,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:10:46 PDT 2019,3,BatchId:3632428;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:10:46 PDT 2019,,,39PAAFCODNRMWC60YWCFR1RKF9ZVTU,A1VPJFCJDIXGW7,Submitted,Mon May 06 10:11:56 PDT 2019,Mon May 06 10:12:47 PDT 2019,Thu May 09 10:12:47 PDT 2019,,,,51,100% (6/6),100% (6/6),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03100_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03150_crop.webm,,B,,
37PGLWGSJTXGK3YJFEU3M1J5RB3IKO,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:10:46 PDT 2019,3,BatchId:3632428;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:10:46 PDT 2019,,,3GLB5JMZFYMWXQK8NBDEMW6OP8NGD7,A3F9N2P4NUUR7S,Submitted,Mon May 06 10:11:49 PDT 2019,Mon May 06 10:16:33 PDT 2019,Thu May 09 10:16:33 PDT 2019,,,,284,100% (26/26),100% (26/26),100% (25/25),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03100_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03150_crop.webm,,Not sure,,
37PGLWGSJTXGK3YJFEU3M1J5RB3IKO,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:10:46 PDT 2019,3,BatchId:3632428;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:10:46 PDT 2019,,,3Z2R0DQ0JI5BA2Q1KR39QAU8F1J2E3,A23KAJRDVCVGOE,Submitted,Mon May 06 10:11:24 PDT 2019,Mon May 06 10:12:59 PDT 2019,Thu May 09 10:12:59 PDT 2019,,,,95,100% (1/1),100% (1/1),100% (1/1),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03100_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03150_crop.webm,,B,,
3IHWR4LC7D4WP2WI6PX0WWAEWB98IV,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:10:46 PDT 2019,3,BatchId:3632428;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:10:46 PDT 2019,,,3MB8LZR5BGKKXO4JQJWH316M5Y8LKX,A3NWQ0535HAXUD,Submitted,Mon May 06 10:14:11 PDT 2019,Mon May 06 10:15:22 PDT 2019,Thu May 09 10:15:22 PDT 2019,,,,71,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03100_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03200_crop.webm,,A,,
3IHWR4LC7D4WP2WI6PX0WWAEWB98IV,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:10:46 PDT 2019,3,BatchId:3632428;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:10:46 PDT 2019,,,3SB5N7Y3O4V2Y6JEBZPJ7PM5VJLG0L,A2VIJIP92R2BWD,Submitted,Mon May 06 10:21:02 PDT 2019,Mon May 06 10:26:49 PDT 2019,Thu May 09 10:26:49 PDT 2019,,,,347,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03100_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03200_crop.webm,,A,,
3IHWR4LC7D4WP2WI6PX0WWAEWB98IV,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:10:46 PDT 2019,3,BatchId:3632428;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:10:46 PDT 2019,,,3URFVVM1669I59QZZYRSH3QIMYBUZJ,AU2J5OINSGEGY,Submitted,Mon May 06 10:11:17 PDT 2019,Mon May 06 10:15:44 PDT 2019,Thu May 09 10:15:44 PDT 2019,,,,267,100% (10/10),100% (10/10),100% (10/10),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03100_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03200_crop.webm,,Not sure,,
3Q9SPIIRWJDS9L92S4LTTEPH1A7AW8,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:10:46 PDT 2019,3,BatchId:3632428;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:10:46 PDT 2019,,,3A9AA95ATXD76QYEBOLIITWODIBP5B,A2TFCGGXOTX5YC,Submitted,Mon May 06 10:11:09 PDT 2019,Mon May 06 10:11:54 PDT 2019,Thu May 09 10:11:54 PDT 2019,,,,45,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03100_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03250_crop.webm,,B,,
3Q9SPIIRWJDS9L92S4LTTEPH1A7AW8,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:10:46 PDT 2019,3,BatchId:3632428;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:10:46 PDT 2019,,,3C6FJU71TRKI0JGU3CP93WHGG4BYU0,A1F1BIPJR11LSR,Submitted,Mon May 06 10:15:54 PDT 2019,Mon May 06 10:21:07 PDT 2019,Thu May 09 10:21:07 PDT 2019,,,,313,100% (22/22),100% (22/22),100% (22/22),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03100_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03250_crop.webm,,B,,
3Q9SPIIRWJDS9L92S4LTTEPH1A7AW8,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:10:46 PDT 2019,3,BatchId:3632428;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:10:46 PDT 2019,,,3SB5N7Y3O4V2Y6JEBZPJ7PM5VJGG0G,AKSJ3C5O3V9RB,Submitted,Mon May 06 10:14:07 PDT 2019,Mon May 06 10:16:26 PDT 2019,Thu May 09 10:16:26 PDT 2019,,,,139,100% (9/9),100% (9/9),100% (9/9),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03100_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03250_crop.webm,,B,,
3C8QQOM6JPSR49G10E6411WKGB8ILR,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:10:46 PDT 2019,3,BatchId:3632428;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:10:46 PDT 2019,,,3AAJC4I4FHJ9RTF5NZNEA1H75IDZJS,A3W0C04EXOY12C,Submitted,Mon May 06 10:11:26 PDT 2019,Mon May 06 10:11:37 PDT 2019,Thu May 09 10:11:37 PDT 2019,,,,11,100% (15/15),100% (14/14),100% (14/14),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03100_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/enduro/enduro_03300_crop.webm,,A,,
