HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url_A,Input.video_url_B,Answer.ranking,Answer.ranking.label,Approve,Reject
3G57RS03HHW9RZZEJO55XWT66XF25X,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 08:07:56 PDT 2019,3,BatchId:3636497;OriginalHitTemplateId:928390922;,480,259200,Mon May 13 08:07:56 PDT 2019,,,3HSYG7LRBKP9DIM15JKGO1T7HQNKKY,A22G7GBPIVCC9X,Submitted,Thu May 09 08:10:11 PDT 2019,Thu May 09 08:10:28 PDT 2019,Sun May 12 08:10:28 PDT 2019,,,,17,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00100_crop.webm,,A,,
3G57RS03HHW9RZZEJO55XWT66XF25X,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 08:07:56 PDT 2019,3,BatchId:3636497;OriginalHitTemplateId:928390922;,480,259200,Mon May 13 08:07:56 PDT 2019,,,3SITXWYCNW0E4FHEYPMCFSIJQ5TBXU,A2Y2RVQO2UVFV1,Submitted,Thu May 09 08:09:32 PDT 2019,Thu May 09 08:10:55 PDT 2019,Sun May 12 08:10:55 PDT 2019,,,,83,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00100_crop.webm,,B,,
3G57RS03HHW9RZZEJO55XWT66XF25X,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 08:07:56 PDT 2019,3,BatchId:3636497;OriginalHitTemplateId:928390922;,480,259200,Mon May 13 08:07:56 PDT 2019,,,3TE3O85731Z0J6V66XN9PHTRVIV2RN,A110KENBXU7SUJ,Submitted,Thu May 09 08:08:47 PDT 2019,Thu May 09 08:11:44 PDT 2019,Sun May 12 08:11:44 PDT 2019,,,,177,100% (25/25),100% (25/25),100% (20/20),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00100_crop.webm,,Not sure,,
3OB6JN3A9QGO3Q15QD1SF6C04KKMRL,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 08:07:56 PDT 2019,3,BatchId:3636497;OriginalHitTemplateId:928390922;,480,259200,Mon May 13 08:07:56 PDT 2019,,,338JKRMM27QCZFC7N74UHVAJKXPHAC,A2Y2RVQO2UVFV1,Submitted,Thu May 09 08:09:58 PDT 2019,Thu May 09 08:12:01 PDT 2019,Sun May 12 08:12:01 PDT 2019,,,,123,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00150_crop.webm,,A,,
3OB6JN3A9QGO3Q15QD1SF6C04KKMRL,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 08:07:56 PDT 2019,3,BatchId:3636497;OriginalHitTemplateId:928390922;,480,259200,Mon May 13 08:07:56 PDT 2019,,,3IGI0VL648BTBFSJ0O4PNARKVQ1NOP,A1PUHCEBSOWETV,Submitted,Thu May 09 08:08:35 PDT 2019,Thu May 09 08:09:03 PDT 2019,Sun May 12 08:09:03 PDT 2019,,,,28,100% (164/164),100% (164/164),100% (163/163),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00150_crop.webm,,B,,
3OB6JN3A9QGO3Q15QD1SF6C04KKMRL,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 08:07:56 PDT 2019,3,BatchId:3636497;OriginalHitTemplateId:928390922;,480,259200,Mon May 13 08:07:56 PDT 2019,,,3L4PIM1GQU7QKRODZIU4YLUWAXPYRZ,A1IXH2QLUU5BKZ,Submitted,Thu May 09 08:09:07 PDT 2019,Thu May 09 08:12:01 PDT 2019,Sun May 12 08:12:01 PDT 2019,,,,174,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00150_crop.webm,,B,,
38O9DZ0A62E5A3ZSO7FAP2762SQ26D,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 08:07:56 PDT 2019,3,BatchId:3636497;OriginalHitTemplateId:928390922;,480,259200,Mon May 13 08:07:56 PDT 2019,,,37W3JXSD67ZVSN5ZYC4ALK2D2C4YW2,AHLS6AZ1VTNH7,Submitted,Thu May 09 08:09:11 PDT 2019,Thu May 09 08:13:02 PDT 2019,Sun May 12 08:13:02 PDT 2019,,,,231,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00200_crop.webm,,A,,
38O9DZ0A62E5A3ZSO7FAP2762SQ26D,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 08:07:56 PDT 2019,3,BatchId:3636497;OriginalHitTemplateId:928390922;,480,259200,Mon May 13 08:07:56 PDT 2019,,,39GAF6DQWSRLNSURWDS5LV8POIU1VY,AUZ6D57S6ZENL,Submitted,Thu May 09 08:09:28 PDT 2019,Thu May 09 08:11:37 PDT 2019,Sun May 12 08:11:37 PDT 2019,,,,129,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00200_crop.webm,,A,,
38O9DZ0A62E5A3ZSO7FAP2762SQ26D,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 08:07:56 PDT 2019,3,BatchId:3636497;OriginalHitTemplateId:928390922;,480,259200,Mon May 13 08:07:56 PDT 2019,,,3FQ5JJ512MFALO742WCWGTABBLRNK5,A2UXVNIR273792,Submitted,Thu May 09 08:08:31 PDT 2019,Thu May 09 08:15:33 PDT 2019,Sun May 12 08:15:33 PDT 2019,,,,422,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00200_crop.webm,,B,,
3P4ZBJFX2VUN5CQA3K7L7F08ZYNWFR,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 08:07:56 PDT 2019,3,BatchId:3636497;OriginalHitTemplateId:928390922;,480,259200,Mon May 13 08:07:56 PDT 2019,,,3HQUKB7LNG5R92KLTDEMYHXNXSFHHN,A22G7GBPIVCC9X,Submitted,Thu May 09 08:10:09 PDT 2019,Thu May 09 08:10:21 PDT 2019,Sun May 12 08:10:21 PDT 2019,,,,12,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/qbert/qbert_00250_crop.webm,,A,,
