HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url_A,Input.video_url_B,Answer.ranking,Answer.ranking.label,Approve,Reject
3LG268AV38XQR29S9FD92Y7RURYERA,37AIU3VBY8FJNU8SYC9HB3KL9GCRXZ,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.05,Tue Apr 30 13:11:56 PDT 2019,2,BatchId:3626406;OriginalHitTemplateId:928390922;,420,259200,Sat May 04 13:11:56 PDT 2019,,,3FE7TXL1LJE075G6TIY9KRJMWJLQ29,A1EAA48IFG15PX,Submitted,Tue Apr 30 13:20:35 PDT 2019,Tue Apr 30 13:21:49 PDT 2019,Fri May 03 13:21:49 PDT 2019,,,,74,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00100_crop.webm,,Not sure,,
3LG268AV38XQR29S9FD92Y7RURYERA,37AIU3VBY8FJNU8SYC9HB3KL9GCRXZ,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.05,Tue Apr 30 13:11:56 PDT 2019,2,BatchId:3626406;OriginalHitTemplateId:928390922;,420,259200,Sat May 04 13:11:56 PDT 2019,,,3QJOXOW4XKI1H6UUU9MT5J86JL8MEE,A33HZKTI0VMYI7,Submitted,Tue Apr 30 13:19:44 PDT 2019,Tue Apr 30 13:24:02 PDT 2019,Fri May 03 13:24:02 PDT 2019,,,,258,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00100_crop.webm,,A,,
33P2GD6NRNJGO8NZ9WCIMPIQRFWHK0,37AIU3VBY8FJNU8SYC9HB3KL9GCRXZ,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.05,Tue Apr 30 13:11:56 PDT 2019,2,BatchId:3626406;OriginalHitTemplateId:928390922;,420,259200,Sat May 04 13:11:56 PDT 2019,,,37KGEN7NJ4HBZ0GXV3UWGZ152XOPP1,A2BLQ1GVEHJR8T,Submitted,Tue Apr 30 13:15:52 PDT 2019,Tue Apr 30 13:17:13 PDT 2019,Fri May 03 13:17:13 PDT 2019,,,,81,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00150_crop.webm,,B,,
33P2GD6NRNJGO8NZ9WCIMPIQRFWHK0,37AIU3VBY8FJNU8SYC9HB3KL9GCRXZ,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.05,Tue Apr 30 13:11:56 PDT 2019,2,BatchId:3626406;OriginalHitTemplateId:928390922;,420,259200,Sat May 04 13:11:56 PDT 2019,,,3QL2OFSM979S2QVGAJVYSAX33ZBCNH,A3RYI5HXC2MJLN,Submitted,Tue Apr 30 13:19:55 PDT 2019,Tue Apr 30 13:24:08 PDT 2019,Fri May 03 13:24:08 PDT 2019,,,,253,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00150_crop.webm,,B,,
388CL5C1RJER8E5HUWOJ1PV5GF1HL3,37AIU3VBY8FJNU8SYC9HB3KL9GCRXZ,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.05,Tue Apr 30 13:11:56 PDT 2019,2,BatchId:3626406;OriginalHitTemplateId:928390922;,420,259200,Sat May 04 13:11:56 PDT 2019,,,3CN4LGXD5YFJJLMFO6YRQSJMF6V4YJ,AIWX8CTWASWI7,Submitted,Tue Apr 30 13:14:33 PDT 2019,Tue Apr 30 13:14:50 PDT 2019,Fri May 03 13:14:50 PDT 2019,,,,17,100% (12/12),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00200_crop.webm,,B,,
388CL5C1RJER8E5HUWOJ1PV5GF1HL3,37AIU3VBY8FJNU8SYC9HB3KL9GCRXZ,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.05,Tue Apr 30 13:11:56 PDT 2019,2,BatchId:3626406;OriginalHitTemplateId:928390922;,420,259200,Sat May 04 13:11:56 PDT 2019,,,3ON104KXQLNFUGRF95G35VY64YTW4A,A110KENBXU7SUJ,Submitted,Tue Apr 30 13:13:01 PDT 2019,Tue Apr 30 13:19:06 PDT 2019,Fri May 03 13:19:06 PDT 2019,,,,365,100% (5/5),100% (5/5),100% (5/5),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00200_crop.webm,,B,,
3WJGKMRWVI0HTU69VNCU7LQKUEUCD9,37AIU3VBY8FJNU8SYC9HB3KL9GCRXZ,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.05,Tue Apr 30 13:11:56 PDT 2019,2,BatchId:3626406;OriginalHitTemplateId:928390922;,420,259200,Sat May 04 13:11:56 PDT 2019,,,3FFJ6VRIL2FGUXP91NPMS1ZL8BHI0B,AIWX8CTWASWI7,Submitted,Tue Apr 30 13:15:21 PDT 2019,Tue Apr 30 13:15:45 PDT 2019,Fri May 03 13:15:45 PDT 2019,,,,24,100% (12/12),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00250_crop.webm,,B,,
3WJGKMRWVI0HTU69VNCU7LQKUEUCD9,37AIU3VBY8FJNU8SYC9HB3KL9GCRXZ,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.05,Tue Apr 30 13:11:56 PDT 2019,2,BatchId:3626406;OriginalHitTemplateId:928390922;,420,259200,Sat May 04 13:11:56 PDT 2019,,,3Q8GYXHFEQTOC1PA6JZCYTXHCEC5CL,A33HZKTI0VMYI7,Submitted,Tue Apr 30 13:20:33 PDT 2019,Tue Apr 30 13:25:26 PDT 2019,Fri May 03 13:25:26 PDT 2019,,,,293,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00250_crop.webm,,A,,
3M93N4X8HKEA3XVX25O5POPFL1DJSO,37AIU3VBY8FJNU8SYC9HB3KL9GCRXZ,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.05,Tue Apr 30 13:11:56 PDT 2019,2,BatchId:3626406;OriginalHitTemplateId:928390922;,420,259200,Sat May 04 13:11:56 PDT 2019,,,33SA9F9TRYLXMIO8YBSGEHAXHNQWEJ,A1F1BIPJR11LSR,Submitted,Tue Apr 30 13:16:25 PDT 2019,Tue Apr 30 13:16:55 PDT 2019,Fri May 03 13:16:55 PDT 2019,,,,30,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00300_crop.webm,,B,,
3M93N4X8HKEA3XVX25O5POPFL1DJSO,37AIU3VBY8FJNU8SYC9HB3KL9GCRXZ,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.05,Tue Apr 30 13:11:56 PDT 2019,2,BatchId:3626406;OriginalHitTemplateId:928390922;,420,259200,Sat May 04 13:11:56 PDT 2019,,,3WRFBPLXRBF4PQZXHQKXZ7T9XMUN3Q,A2EELTS09HUTSF,Submitted,Tue Apr 30 13:14:20 PDT 2019,Tue Apr 30 13:14:24 PDT 2019,Fri May 03 13:14:24 PDT 2019,,,,4,100% (1/1),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00300_crop.webm,,B,,
