HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url_A,Input.video_url_B,Answer.ranking,Answer.ranking.label,Approve,Reject
3OWZNK3RYLGQCEPTKPDD58LM5A62U5,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:12:59 PDT 2019,3,BatchId:3634136;OriginalHitTemplateId:928390922;,480,259200,Sat May 11 12:12:59 PDT 2019,,,3OCHAWUVGPBFXIL842Z5EV19CK4XK7,A3RYI5HXC2MJLN,Submitted,Tue May 07 12:13:14 PDT 2019,Tue May 07 12:16:11 PDT 2019,Fri May 10 12:16:11 PDT 2019,,,,177,100% (16/16),100% (16/16),100% (14/14),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00100_crop.webm,,A,,
3OWZNK3RYLGQCEPTKPDD58LM5A62U5,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:12:59 PDT 2019,3,BatchId:3634136;OriginalHitTemplateId:928390922;,480,259200,Sat May 11 12:12:59 PDT 2019,,,3V0Z7YWSIZRSCDCNFHSJQEIUF9BV2H,A1F1BIPJR11LSR,Submitted,Tue May 07 12:14:13 PDT 2019,Tue May 07 12:15:00 PDT 2019,Fri May 10 12:15:00 PDT 2019,,,,47,100% (22/22),100% (22/22),100% (22/22),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00100_crop.webm,,A,,
3OWZNK3RYLGQCEPTKPDD58LM5A62U5,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:12:59 PDT 2019,3,BatchId:3634136;OriginalHitTemplateId:928390922;,480,259200,Sat May 11 12:12:59 PDT 2019,,,3WAKVUDHUX7ZLZKTG3Z9QJXJCIP7UL,ANQF0LHVK1236,Submitted,Tue May 07 12:14:16 PDT 2019,Tue May 07 12:18:07 PDT 2019,Fri May 10 12:18:07 PDT 2019,,,,231,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00100_crop.webm,,A,,
3VCK0Q0PO556LE2681XD8P0D0GT0NR,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:12:59 PDT 2019,3,BatchId:3634136;OriginalHitTemplateId:928390922;,480,259200,Sat May 11 12:12:59 PDT 2019,,,3E1QT0TDFQ0YCMUCWR21LG53T7A8I3,A276ZQRGCB96DC,Submitted,Tue May 07 12:16:55 PDT 2019,Tue May 07 12:17:43 PDT 2019,Fri May 10 12:17:43 PDT 2019,,,,48,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00150_crop.webm,B,,,
3VCK0Q0PO556LE2681XD8P0D0GT0NR,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:12:59 PDT 2019,3,BatchId:3634136;OriginalHitTemplateId:928390922;,480,259200,Sat May 11 12:12:59 PDT 2019,,,3HVVDCPGTFJ3061537ZZY0VEX3RYTM,A27VP9JFONZFPX,Submitted,Tue May 07 12:14:54 PDT 2019,Tue May 07 12:15:31 PDT 2019,Fri May 10 12:15:31 PDT 2019,,,,37,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00150_crop.webm,,B,,
3VCK0Q0PO556LE2681XD8P0D0GT0NR,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:12:59 PDT 2019,3,BatchId:3634136;OriginalHitTemplateId:928390922;,480,259200,Sat May 11 12:12:59 PDT 2019,,,3ND9UOO81LTBSOY0FXFKRC0HSI5LW7,ARIBVG7WV64QM,Submitted,Tue May 07 12:14:57 PDT 2019,Tue May 07 12:15:15 PDT 2019,Fri May 10 12:15:15 PDT 2019,,,,18,100% (4/4),100% (4/4),100% (4/4),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00150_crop.webm,,A,,
31GN6YMHLPJW9HVW947KEEJNOKFSWW,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:12:59 PDT 2019,3,BatchId:3634136;OriginalHitTemplateId:928390922;,480,259200,Sat May 11 12:12:59 PDT 2019,,,3AZHRG4CU5B14U7QGKIZOVXWRR2039,AKSJ3C5O3V9RB,Submitted,Tue May 07 12:17:42 PDT 2019,Tue May 07 12:23:28 PDT 2019,Fri May 10 12:23:28 PDT 2019,,,,346,100% (9/9),100% (9/9),100% (9/9),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00200_crop.webm,,B,,
31GN6YMHLPJW9HVW947KEEJNOKFSWW,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:12:59 PDT 2019,3,BatchId:3634136;OriginalHitTemplateId:928390922;,480,259200,Sat May 11 12:12:59 PDT 2019,,,3GGAI1SQEWPMK8AGYIGYFV8307CMC0,A1IXH2QLUU5BKZ,Submitted,Tue May 07 12:13:51 PDT 2019,Tue May 07 12:15:50 PDT 2019,Fri May 10 12:15:50 PDT 2019,,,,119,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00200_crop.webm,,B,,
31GN6YMHLPJW9HVW947KEEJNOKFSWW,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:12:59 PDT 2019,3,BatchId:3634136;OriginalHitTemplateId:928390922;,480,259200,Sat May 11 12:12:59 PDT 2019,,,3R2PKQ87NXZDXBWGQSCKQY6YDCZIM1,A3RYI5HXC2MJLN,Submitted,Tue May 07 12:16:52 PDT 2019,Tue May 07 12:22:31 PDT 2019,Fri May 10 12:22:31 PDT 2019,,,,339,100% (16/16),100% (16/16),100% (14/14),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00200_crop.webm,,B,,
3VI0PC2ZAYBW0P8TCSMXWSNT0XIXOX,3OR5EJIUG3HL2QIBZQY80BLN9CQU9O,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:12:59 PDT 2019,3,BatchId:3634136;OriginalHitTemplateId:928390922;,480,259200,Sat May 11 12:12:59 PDT 2019,,,30IQTZXKALXDKSE409PNVBM0YM10X7,A1PUHCEBSOWETV,Submitted,Tue May 07 12:15:31 PDT 2019,Tue May 07 12:17:07 PDT 2019,Fri May 10 12:17:07 PDT 2019,,,,96,100% (164/164),100% (164/164),100% (163/163),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/spaceinvaders/spaceinvaders_00250_crop.webm,,A,,
