HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url_A,Input.video_url_B,Answer.ranking,Answer.ranking.label,Approve,Reject
3BO3NEOQM08A8QPX3NHESNG9MZBAI3,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:17:04 PDT 2019,3,BatchId:3632444;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:17:04 PDT 2019,,,3FDJT1UU75Z6VZ1YYWGAMCAPJ8AK5A,A1PUHCEBSOWETV,Submitted,Mon May 06 10:17:26 PDT 2019,Mon May 06 10:19:25 PDT 2019,Thu May 09 10:19:25 PDT 2019,,,,119,100% (164/164),100% (164/164),100% (163/163),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00100_crop.webm,,Not sure,,
3BO3NEOQM08A8QPX3NHESNG9MZBAI3,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:17:04 PDT 2019,3,BatchId:3632444;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:17:04 PDT 2019,,,3PH3VY7DJMOVXDF4UY6TZRBF7ERWZP,A3NWQ0535HAXUD,Submitted,Mon May 06 10:17:40 PDT 2019,Mon May 06 10:18:43 PDT 2019,Thu May 09 10:18:43 PDT 2019,,,,63,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00100_crop.webm,,A,,
3BO3NEOQM08A8QPX3NHESNG9MZBAI3,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:17:04 PDT 2019,3,BatchId:3632444;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:17:04 PDT 2019,,,3ZY8KE4ISKU94WE8HSIKMWGXV24QVF,A2Y2RVQO2UVFV1,Submitted,Mon May 06 10:17:16 PDT 2019,Mon May 06 10:23:37 PDT 2019,Thu May 09 10:23:37 PDT 2019,,,,381,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00100_crop.webm,,A,,
3X0EMNLXEPGMH0FZRDYUX7VYTN6VP0,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:17:04 PDT 2019,3,BatchId:3632444;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:17:04 PDT 2019,,,30LB5CDZND12PNEJ1RD8SW2B69JZ0X,A110SC5K5Y3IHS,Submitted,Mon May 06 10:28:20 PDT 2019,Mon May 06 10:30:52 PDT 2019,Thu May 09 10:30:52 PDT 2019,,,,152,100% (8/8),100% (8/8),100% (8/8),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00150_crop.webm,Not sure,,,
3X0EMNLXEPGMH0FZRDYUX7VYTN6VP0,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:17:04 PDT 2019,3,BatchId:3632444;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:17:04 PDT 2019,,,36U2A8VAG2Q4XNBI9YL7X98IEDGYK6,A2PJAR334LPELC,Submitted,Mon May 06 10:20:40 PDT 2019,Mon May 06 10:20:56 PDT 2019,Thu May 09 10:20:56 PDT 2019,,,,16,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00150_crop.webm,,B,,
3X0EMNLXEPGMH0FZRDYUX7VYTN6VP0,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:17:04 PDT 2019,3,BatchId:3632444;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:17:04 PDT 2019,,,3U0SRXB7CEWW8SKZSGLTH5WP5L4RN0,AHLS6AZ1VTNH7,Submitted,Mon May 06 10:17:31 PDT 2019,Mon May 06 10:19:27 PDT 2019,Thu May 09 10:19:27 PDT 2019,,,,116,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00150_crop.webm,A,,,
31D0ZWOD0AQZ1V8HZXS8MJGD05U0AY,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:17:04 PDT 2019,3,BatchId:3632444;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:17:04 PDT 2019,,,3LKC68YZ3BUJY91XSPVCJT4BNAOOWF,A110SC5K5Y3IHS,Submitted,Mon May 06 10:17:23 PDT 2019,Mon May 06 10:25:32 PDT 2019,Thu May 09 10:25:32 PDT 2019,,,,489,100% (8/8),100% (8/8),100% (8/8),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00200_crop.webm,,Not sure,,
31D0ZWOD0AQZ1V8HZXS8MJGD05U0AY,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:17:04 PDT 2019,3,BatchId:3632444;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:17:04 PDT 2019,,,3S3AMIZX3VWJGE43LPHVW5L9RG0CDY,AYKDN0E8YXVY,Submitted,Mon May 06 10:17:45 PDT 2019,Mon May 06 10:19:25 PDT 2019,Thu May 09 10:19:25 PDT 2019,,,,100,100% (1/1),100% (1/1),100% (1/1),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00200_crop.webm,,B,,
31D0ZWOD0AQZ1V8HZXS8MJGD05U0AY,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:17:04 PDT 2019,3,BatchId:3632444;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:17:04 PDT 2019,,,3ZV9H2YQQEYUCK8B9RBKVQ60SJTW3T,A298J6JKK4Q2XN,Submitted,Mon May 06 10:18:27 PDT 2019,Mon May 06 10:19:47 PDT 2019,Thu May 09 10:19:47 PDT 2019,,,,80,100% (24/24),100% (23/23),100% (23/23),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00200_crop.webm,,B,,
3JGHED38EDIEFO6402RX4K87BA37YF,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:17:04 PDT 2019,3,BatchId:3632444;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:17:04 PDT 2019,,,33M4IA01QHS1KMY3UM82F7NN7ZERXK,AOGNIEJWXIERU,Submitted,Mon May 06 10:17:44 PDT 2019,Mon May 06 10:18:42 PDT 2019,Thu May 09 10:18:42 PDT 2019,,,,58,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/hero/hero_00250_crop.webm,,B,,
