HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url_A,Input.video_url_B,Answer.ranking,Answer.ranking.label,Approve,Reject
308KJXFUJRX0H458XZGI6UIIYKQTAB,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:11:42 PDT 2019,3,BatchId:3634130;OriginalHitTemplateId:928390922;,600,259200,Sat May 11 12:11:42 PDT 2019,,,32VNZTT0A8VAMKATAB6XIWQPEHT4RS,A3BFMY5OX2WMUW,Submitted,Tue May 07 12:12:09 PDT 2019,Tue May 07 12:18:21 PDT 2019,Fri May 10 12:18:21 PDT 2019,,,,372,100% (15/15),100% (15/15),100% (15/15),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00025_crop.webm,,Not sure,,
308KJXFUJRX0H458XZGI6UIIYKQTAB,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:11:42 PDT 2019,3,BatchId:3634130;OriginalHitTemplateId:928390922;,600,259200,Sat May 11 12:11:42 PDT 2019,,,37ZHEEHM6XDFM57A1J383A7JZ5373B,A1VPJFCJDIXGW7,Submitted,Tue May 07 12:12:43 PDT 2019,Tue May 07 12:16:25 PDT 2019,Fri May 10 12:16:25 PDT 2019,,,,222,100% (6/6),100% (6/6),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00025_crop.webm,,B,,
308KJXFUJRX0H458XZGI6UIIYKQTAB,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:11:42 PDT 2019,3,BatchId:3634130;OriginalHitTemplateId:928390922;,600,259200,Sat May 11 12:11:42 PDT 2019,,,3M81GAB8A1AUVIG2CBRKLKMQSN9QBK,A23KAJRDVCVGOE,Submitted,Tue May 07 12:14:26 PDT 2019,Tue May 07 12:20:47 PDT 2019,Fri May 10 12:20:47 PDT 2019,,,,381,100% (1/1),100% (1/1),100% (1/1),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00025_crop.webm,,A,,
30F94FBDNRB50EA03DGE152OG2BBTO,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:11:41 PDT 2019,3,BatchId:3634130;OriginalHitTemplateId:928390922;,600,259200,Sat May 11 12:11:41 PDT 2019,,,35H6S234SBRZWKG9WSM9CT57IQB652,A1VPJFCJDIXGW7,Submitted,Tue May 07 12:13:32 PDT 2019,Tue May 07 12:20:08 PDT 2019,Fri May 10 12:20:08 PDT 2019,,,,396,100% (6/6),100% (6/6),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00020_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00055_crop.webm,,B,,
30F94FBDNRB50EA03DGE152OG2BBTO,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:11:41 PDT 2019,3,BatchId:3634130;OriginalHitTemplateId:928390922;,600,259200,Sat May 11 12:11:41 PDT 2019,,,388U7OUMF8STNWSSRAJV6T0CX5DR0Z,A23KAJRDVCVGOE,Submitted,Tue May 07 12:12:50 PDT 2019,Tue May 07 12:16:19 PDT 2019,Fri May 10 12:16:19 PDT 2019,,,,209,100% (1/1),100% (1/1),100% (1/1),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00020_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00055_crop.webm,,A,,
30F94FBDNRB50EA03DGE152OG2BBTO,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:11:41 PDT 2019,3,BatchId:3634130;OriginalHitTemplateId:928390922;,600,259200,Sat May 11 12:11:41 PDT 2019,,,3PB5A5BD0WXGGHJYWYASM4WS3AA7GL,AIWX8CTWASWI7,Submitted,Tue May 07 12:14:09 PDT 2019,Tue May 07 12:18:36 PDT 2019,Fri May 10 12:18:36 PDT 2019,,,,267,100% (50/50),100% (38/38),100% (38/38),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00020_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00055_crop.webm,,B,,
30F94FBDNRB50EA03DGE152OG2BTB6,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:11:44 PDT 2019,3,BatchId:3634130;OriginalHitTemplateId:928390922;,600,259200,Sat May 11 12:11:44 PDT 2019,,,37Z929RLGAZ64KPW417AGE7DGIVTS3,AIWX8CTWASWI7,Submitted,Tue May 07 12:15:01 PDT 2019,Tue May 07 12:20:52 PDT 2019,Fri May 10 12:20:52 PDT 2019,,,,351,100% (50/50),100% (38/38),100% (38/38),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00055_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00035_crop.webm,,B,,
30F94FBDNRB50EA03DGE152OG2BTB6,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:11:44 PDT 2019,3,BatchId:3634130;OriginalHitTemplateId:928390922;,600,259200,Sat May 11 12:11:44 PDT 2019,,,3PS7W85Z80TOZ5TXVV7JZJ2NOU4T9Q,A1IXH2QLUU5BKZ,Submitted,Tue May 07 12:13:07 PDT 2019,Tue May 07 12:19:26 PDT 2019,Fri May 10 12:19:26 PDT 2019,,,,379,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00055_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00035_crop.webm,,A,,
30F94FBDNRB50EA03DGE152OG2BTB6,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:11:44 PDT 2019,3,BatchId:3634130;OriginalHitTemplateId:928390922;,600,259200,Sat May 11 12:11:44 PDT 2019,,,3X4JMASXCN067PB3VDX56EV8FJA0BV,A2U0JT7TSIIXPS,Submitted,Tue May 07 12:12:48 PDT 2019,Tue May 07 12:21:17 PDT 2019,Fri May 10 12:21:17 PDT 2019,,,,509,100% (4/4),100% (3/3),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00055_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00035_crop.webm,,A,,
30OITAWPBQUW7C485ZLTWG4AH8D9H2,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Tue May 07 12:11:40 PDT 2019,3,BatchId:3634130;OriginalHitTemplateId:928390922;,600,259200,Sat May 11 12:11:40 PDT 2019,,,39LOEL67OTWJMJCTBOVEHA3EAPA38V,A23KAJRDVCVGOE,Submitted,Tue May 07 12:13:21 PDT 2019,Tue May 07 12:19:30 PDT 2019,Fri May 10 12:19:30 PDT 2019,,,,369,100% (1/1),100% (1/1),100% (1/1),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00010_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/seaquest/seaquest_00030_crop.webm,,A,,
