HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url_A,Input.video_url_B,Answer.ranking.label,Approve,Reject
3XEDXEGFX3F5D8H3BO5XGXJ95VO0K5,3K4OUUN0MNC4NGK528HDBR512BOCMT,Choose which video has the best performance,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.20,Mon Apr 29 12:08:25 PDT 2019,1,BatchId:3624797;OriginalHitTemplateId:928390922;,600,259200,Thu May 02 12:08:25 PDT 2019,,,3G5F9DBFOQOWR3F5Y2VQDIOW2JRVHD,A2TRHMYD2VZH5,Submitted,Mon Apr 29 12:08:50 PDT 2019,Mon Apr 29 12:09:37 PDT 2019,Thu May 02 12:09:37 PDT 2019,,,,47,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050.mp4,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00100.mp4,B,,
32XN26MTXZAGXEZLWOHYVXWOUVT0L8,3K4OUUN0MNC4NGK528HDBR512BOCMT,Choose which video has the best performance,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.20,Mon Apr 29 12:08:25 PDT 2019,1,BatchId:3624797;OriginalHitTemplateId:928390922;,600,259200,Thu May 02 12:08:25 PDT 2019,,,3GS6S824SRO1GO1LRAVZ4446V42NWO,A177EXELDLWTWV,Submitted,Mon Apr 29 12:08:57 PDT 2019,Mon Apr 29 12:11:03 PDT 2019,Thu May 02 12:11:03 PDT 2019,,,,126,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050.mp4,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00150.mp4,B,,
3BC9H1KCYU3T53758AZ9W07O4FBWYX,3K4OUUN0MNC4NGK528HDBR512BOCMT,Choose which video has the best performance,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.20,Mon Apr 29 12:08:25 PDT 2019,1,BatchId:3624797;OriginalHitTemplateId:928390922;,600,259200,Thu May 02 12:08:25 PDT 2019,,,336KAV9KYRJ9G77SKSF3XDMOVHC2YC,A26VFMS3M1XWSX,Submitted,Mon Apr 29 12:08:59 PDT 2019,Mon Apr 29 12:10:44 PDT 2019,Thu May 02 12:10:44 PDT 2019,,,,105,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050.mp4,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00200.mp4,A,,
3D4BBDG7ZHNJB24C2Y6IUC483YZ3CQ,3K4OUUN0MNC4NGK528HDBR512BOCMT,Choose which video has the best performance,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.20,Mon Apr 29 12:08:25 PDT 2019,1,BatchId:3624797;OriginalHitTemplateId:928390922;,600,259200,Thu May 02 12:08:25 PDT 2019,,,3IOEN3P9S8A082FQV5KX93SQ41561Z,A1ORUO2MGV9AT6,Submitted,Mon Apr 29 12:09:33 PDT 2019,Mon Apr 29 12:12:37 PDT 2019,Thu May 02 12:12:37 PDT 2019,,,,184,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050.mp4,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00250.mp4,B,,
3UUIU9GZC5W3BYTR23P1YJ2W5GQ5T1,3K4OUUN0MNC4NGK528HDBR512BOCMT,Choose which video has the best performance,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.20,Mon Apr 29 12:08:25 PDT 2019,1,BatchId:3624797;OriginalHitTemplateId:928390922;,600,259200,Thu May 02 12:08:25 PDT 2019,,,3MB8LZR5BGKKXO4JQJWH316M32TLKO,A2ETY1O927Z1IF,Submitted,Mon Apr 29 12:08:50 PDT 2019,Mon Apr 29 12:10:20 PDT 2019,Thu May 02 12:10:20 PDT 2019,,,,90,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050.mp4,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00300.mp4,B,,
3L7SUC0TTUL03WH6W0IDVABDU0J0MA,3K4OUUN0MNC4NGK528HDBR512BOCMT,Choose which video has the best performance,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.20,Mon Apr 29 12:08:25 PDT 2019,1,BatchId:3624797;OriginalHitTemplateId:928390922;,600,259200,Thu May 02 12:08:25 PDT 2019,,,3WYP994K18IXY8QT7UR6NQ30BMDY6O,A87AO6A9ILCHD,Submitted,Mon Apr 29 12:19:00 PDT 2019,Mon Apr 29 12:20:34 PDT 2019,Thu May 02 12:20:34 PDT 2019,,,,94,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050.mp4,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00350.mp4,B,,
3W1K7D6QSB81MQJZ955WNT3508XZBB,3K4OUUN0MNC4NGK528HDBR512BOCMT,Choose which video has the best performance,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.20,Mon Apr 29 12:08:25 PDT 2019,1,BatchId:3624797;OriginalHitTemplateId:928390922;,600,259200,Thu May 02 12:08:25 PDT 2019,,,3BDCF01OGYLFHTT0UYX8C9LX1H2YLW,A3HNEYFOIJWPH1,Submitted,Mon Apr 29 12:09:02 PDT 2019,Mon Apr 29 12:11:45 PDT 2019,Thu May 02 12:11:45 PDT 2019,,,,163,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050.mp4,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00400.mp4,A,,
3XDJY5RK5SC0FS4GO3W1YNIKOY1U4B,3K4OUUN0MNC4NGK528HDBR512BOCMT,Choose which video has the best performance,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.20,Mon Apr 29 12:08:25 PDT 2019,1,BatchId:3624797;OriginalHitTemplateId:928390922;,600,259200,Thu May 02 12:08:25 PDT 2019,,,3AUQQEL7U6KLG3990UO57QPFG2Q0VH,A1QWBLJIMF1A5V,Submitted,Mon Apr 29 12:09:06 PDT 2019,Mon Apr 29 12:09:50 PDT 2019,Thu May 02 12:09:50 PDT 2019,,,,44,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050.mp4,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00450.mp4,B,,
3P520RYKCHXIBB8G28FB3FOYOUWU5G,3K4OUUN0MNC4NGK528HDBR512BOCMT,Choose which video has the best performance,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.20,Mon Apr 29 12:08:25 PDT 2019,1,BatchId:3624797;OriginalHitTemplateId:928390922;,600,259200,Thu May 02 12:08:25 PDT 2019,,,33OOO72IVICQX3007FHA193VS66TCM,A1J4AZL6MZ675U,Submitted,Mon Apr 29 12:08:52 PDT 2019,Mon Apr 29 12:12:38 PDT 2019,Thu May 02 12:12:38 PDT 2019,,,,226,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050.mp4,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00500.mp4,B,,
3HO4MYYR12FEUF8U7RPGVL2YKP7U6W,3K4OUUN0MNC4NGK528HDBR512BOCMT,Choose which video has the best performance,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.20,Mon Apr 29 12:08:25 PDT 2019,1,BatchId:3624797;OriginalHitTemplateId:928390922;,600,259200,Thu May 02 12:08:25 PDT 2019,,,3KJYX6QCMA2SI9AVM2YBPV4BFBVVJI,A2MCG5W6LHSRG9,Submitted,Mon Apr 29 12:08:53 PDT 2019,Mon Apr 29 12:10:26 PDT 2019,Thu May 02 12:10:26 PDT 2019,,,,93,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00050.mp4,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/breakout_00550.mp4,B,,
