HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url_A,Input.video_url_B,Answer.ranking,Answer.ranking.label,Approve,Reject
30P8I9JKOICIOQXG7YPGZ1QH2N85VR,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:24:21 PDT 2019,3,BatchId:3632460;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:24:21 PDT 2019,,,32VNZTT0A8VAMKATAB6XIWQPE4FR4B,A2U0JT7TSIIXPS,Submitted,Mon May 06 10:25:45 PDT 2019,Mon May 06 10:31:38 PDT 2019,Thu May 09 10:31:38 PDT 2019,,,,353,100% (4/4),100% (3/3),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00100_crop.webm,,A,,
30P8I9JKOICIOQXG7YPGZ1QH2N85VR,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:24:21 PDT 2019,3,BatchId:3632460;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:24:21 PDT 2019,,,3JV9LGBJWU5N1NBXDKRUXQINTM4OGM,A2PJAR334LPELC,Submitted,Mon May 06 10:25:40 PDT 2019,Mon May 06 10:26:27 PDT 2019,Thu May 09 10:26:27 PDT 2019,,,,47,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00100_crop.webm,,B,,
30P8I9JKOICIOQXG7YPGZ1QH2N85VR,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:24:21 PDT 2019,3,BatchId:3632460;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:24:21 PDT 2019,,,3L4D84MIL0JN08FBHDH7AUD29S7JHX,A2VIJIP92R2BWD,Submitted,Mon May 06 10:25:45 PDT 2019,Mon May 06 10:30:23 PDT 2019,Thu May 09 10:30:23 PDT 2019,,,,278,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00100_crop.webm,,Not sure,,
302U8RURJZSMEF3MBYL2TIQ3T87VN6,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:24:21 PDT 2019,3,BatchId:3632460;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:24:21 PDT 2019,,,34T446B1C15PHU399DT0HY1QXRVC09,A1F1BIPJR11LSR,Submitted,Mon May 06 10:24:30 PDT 2019,Mon May 06 10:28:08 PDT 2019,Thu May 09 10:28:08 PDT 2019,,,,218,100% (22/22),100% (22/22),100% (22/22),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00150_crop.webm,,B,,
302U8RURJZSMEF3MBYL2TIQ3T87VN6,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:24:21 PDT 2019,3,BatchId:3632460;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:24:21 PDT 2019,,,3A1PQ49WVI8G5RZ7ROB16UHGFB61HA,A2VIJIP92R2BWD,Submitted,Mon May 06 10:24:30 PDT 2019,Mon May 06 10:27:08 PDT 2019,Thu May 09 10:27:08 PDT 2019,,,,158,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00150_crop.webm,,B,,
302U8RURJZSMEF3MBYL2TIQ3T87VN6,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:24:21 PDT 2019,3,BatchId:3632460;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:24:21 PDT 2019,,,3DR23U6WE655U1KE36N5RX3YFE5ETG,A1PUHCEBSOWETV,Submitted,Mon May 06 10:24:30 PDT 2019,Mon May 06 10:24:48 PDT 2019,Thu May 09 10:24:48 PDT 2019,,,,18,100% (164/164),100% (164/164),100% (163/163),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00150_crop.webm,,A,,
3QHITW7OYO0NPODGGVMN1P7VD9UAQ8,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:24:21 PDT 2019,3,BatchId:3632460;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:24:21 PDT 2019,,,354P56DE9LUJ6MSPRY49BIFVR8NS7J,A1M8X4XC7AR7UN,Submitted,Mon May 06 10:24:57 PDT 2019,Mon May 06 10:29:04 PDT 2019,Thu May 09 10:29:04 PDT 2019,,,,247,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00200_crop.webm,,A,,
3QHITW7OYO0NPODGGVMN1P7VD9UAQ8,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:24:21 PDT 2019,3,BatchId:3632460;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:24:21 PDT 2019,,,3DQQ64TANHC1J9DY7P8R8T91XFPPW2,A2AY63W3761ZDX,Submitted,Mon May 06 10:25:06 PDT 2019,Mon May 06 10:26:46 PDT 2019,Thu May 09 10:26:46 PDT 2019,,,,100,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00200_crop.webm,,Not sure,,
3QHITW7OYO0NPODGGVMN1P7VD9UAQ8,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:24:21 PDT 2019,3,BatchId:3632460;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:24:21 PDT 2019,,,3QJOXOW4XKI1H6UUU9MT5J86L69MEN,A2PJAR334LPELC,Submitted,Mon May 06 10:24:43 PDT 2019,Mon May 06 10:25:41 PDT 2019,Thu May 09 10:25:41 PDT 2019,,,,58,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00200_crop.webm,,B,,
3SA4EMRVJVT6OZEJOGA5CE58ZRW0PG,3KAKS2ULSFBL9XMGOUC30155QXQTMV,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Mon May 06 10:24:21 PDT 2019,3,BatchId:3632460;OriginalHitTemplateId:928390922;,600,259200,Fri May 10 10:24:21 PDT 2019,,,39LOEL67OTWJMJCTBOVEHA3EACV38Q,A1VPJFCJDIXGW7,Submitted,Mon May 06 10:25:10 PDT 2019,Mon May 06 10:28:06 PDT 2019,Thu May 09 10:28:06 PDT 2019,,,,176,100% (6/6),100% (6/6),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/pong/pong_00250_crop.webm,,A,,
