HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.video_url_A,Input.video_url_B,Answer.ranking,Answer.ranking.label,Approve,Reject
3XJOUITW8UIS4KCPMVD4WUXN26LQTW,3TAPATTOAZHPGW1BDZD865ZH2CJC9W,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 09:44:33 PDT 2019,3,BatchId:3636677;OriginalHitTemplateId:928390922;,420,259200,Mon May 13 09:44:33 PDT 2019,,,3MHW492WW14IJHGGPZB35NWSMUOVM1,A23KAJRDVCVGOE,Submitted,Thu May 09 09:46:24 PDT 2019,Thu May 09 09:50:29 PDT 2019,Sun May 12 09:50:29 PDT 2019,,,,245,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00100_crop.webm,,B,,
3XJOUITW8UIS4KCPMVD4WUXN26LQTW,3TAPATTOAZHPGW1BDZD865ZH2CJC9W,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 09:44:33 PDT 2019,3,BatchId:3636677;OriginalHitTemplateId:928390922;,420,259200,Mon May 13 09:44:33 PDT 2019,,,3TUI152ZZCETIKYAAEYVF89H7RE1Q5,A1IXH2QLUU5BKZ,Submitted,Thu May 09 09:45:07 PDT 2019,Thu May 09 09:46:06 PDT 2019,Sun May 12 09:46:06 PDT 2019,,,,59,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00100_crop.webm,,B,,
3XJOUITW8UIS4KCPMVD4WUXN26LQTW,3TAPATTOAZHPGW1BDZD865ZH2CJC9W,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 09:44:33 PDT 2019,3,BatchId:3636677;OriginalHitTemplateId:928390922;,420,259200,Mon May 13 09:44:33 PDT 2019,,,3X65QVEQI1E2EQSVY6FJFITE1IILCQ,A2HWC65YAL6MHK,Submitted,Thu May 09 09:46:18 PDT 2019,Thu May 09 09:47:04 PDT 2019,Sun May 12 09:47:04 PDT 2019,,,,46,100% (1/1),100% (1/1),100% (1/1),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00100_crop.webm,A,,,
3OEWW2KGQJ2I2J3CLSLL2LK1KJFOD3,3TAPATTOAZHPGW1BDZD865ZH2CJC9W,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 09:44:33 PDT 2019,3,BatchId:3636677;OriginalHitTemplateId:928390922;,420,259200,Mon May 13 09:44:33 PDT 2019,,,31HQ4X3T3T1IL7HRVS5JUNXWNL3SLQ,A298J6JKK4Q2XN,Submitted,Thu May 09 09:45:33 PDT 2019,Thu May 09 09:47:41 PDT 2019,Sun May 12 09:47:41 PDT 2019,,,,128,100% (24/24),100% (23/23),100% (23/23),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00150_crop.webm,,B,,
3OEWW2KGQJ2I2J3CLSLL2LK1KJFOD3,3TAPATTOAZHPGW1BDZD865ZH2CJC9W,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 09:44:33 PDT 2019,3,BatchId:3636677;OriginalHitTemplateId:928390922;,420,259200,Mon May 13 09:44:33 PDT 2019,,,35L9RVQFCP9WEOQ5TCLLHWMDR1GUH2,A9HVFM0YUY00Q,Submitted,Thu May 09 09:47:07 PDT 2019,Thu May 09 09:49:12 PDT 2019,Sun May 12 09:49:12 PDT 2019,,,,125,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00150_crop.webm,,B,,
3OEWW2KGQJ2I2J3CLSLL2LK1KJFOD3,3TAPATTOAZHPGW1BDZD865ZH2CJC9W,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 09:44:33 PDT 2019,3,BatchId:3636677;OriginalHitTemplateId:928390922;,420,259200,Mon May 13 09:44:33 PDT 2019,,,369J354OFE1XCH5TDO50GQWW9FLG6N,A23KAJRDVCVGOE,Submitted,Thu May 09 09:46:14 PDT 2019,Thu May 09 09:49:35 PDT 2019,Sun May 12 09:49:35 PDT 2019,,,,201,100% (2/2),100% (2/2),100% (2/2),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00150_crop.webm,,B,,
34KYK9TV2RZ4LEXLEDBOR062EN6BSG,3TAPATTOAZHPGW1BDZD865ZH2CJC9W,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 09:44:33 PDT 2019,3,BatchId:3636677;OriginalHitTemplateId:928390922;,420,259200,Mon May 13 09:44:33 PDT 2019,,,3FDJT1UU75Z6VZ1YYWGAMCAPK1U5K2,AWWR9PY50W0Z9,Submitted,Thu May 09 09:53:13 PDT 2019,Thu May 09 09:58:12 PDT 2019,Sun May 12 09:58:12 PDT 2019,,,,299,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00200_crop.webm,Not sure,,,
34KYK9TV2RZ4LEXLEDBOR062EN6BSG,3TAPATTOAZHPGW1BDZD865ZH2CJC9W,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 09:44:33 PDT 2019,3,BatchId:3636677;OriginalHitTemplateId:928390922;,420,259200,Mon May 13 09:44:33 PDT 2019,,,3ITXP059PXACQHTRS7T6E8K4JWYJSF,A1F1BIPJR11LSR,Submitted,Thu May 09 09:52:30 PDT 2019,Thu May 09 09:54:45 PDT 2019,Sun May 12 09:54:45 PDT 2019,,,,135,100% (27/27),100% (27/27),100% (27/27),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00200_crop.webm,,B,,
34KYK9TV2RZ4LEXLEDBOR062EN6BSG,3TAPATTOAZHPGW1BDZD865ZH2CJC9W,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 09:44:33 PDT 2019,3,BatchId:3636677;OriginalHitTemplateId:928390922;,420,259200,Mon May 13 09:44:33 PDT 2019,,,3JPSL1DZ5TQ49BYIQ5Z7MF7F6AXANF,A3QJ14Y7N8VQ42,Submitted,Thu May 09 09:46:05 PDT 2019,Thu May 09 09:47:07 PDT 2019,Sun May 12 09:47:07 PDT 2019,,,,62,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00200_crop.webm,,A,,
3R868ACW4S3XD7RAPRXAO4U2HFYGZ7,3TAPATTOAZHPGW1BDZD865ZH2CJC9W,Help a robot learn to play a video game,"Given two videos of a computer learning to play a video game, choose which video has the best performance.","video, classification, preferences, machine learning",$0.15,Thu May 09 09:44:33 PDT 2019,3,BatchId:3636677;OriginalHitTemplateId:928390922;,420,259200,Mon May 13 09:44:33 PDT 2019,,,34X6J5FLPUP0D1EE0341J85318EJQR,A23SWD88JBWOTV,Submitted,Thu May 09 09:46:51 PDT 2019,Thu May 09 09:47:43 PDT 2019,Sun May 12 09:47:43 PDT 2019,,,,52,0% (0/0),0% (0/0),0% (0/0),https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00050_crop.webm,https://raw.githubusercontent.com/dsbrown1331/TurkVideos/master/beamrider/beamrider_00250_crop.webm,,B,,
